,tweets,tweets_clean,textblob,vader,sentiment,sentiment_label,user_name,user_statuses_count,user_followers,user_location,fav_count,rt_count,tweet_date,lat,lng,place,country
0,IT’S GOING DOWN IN INDIANAPOLIS LADIES &amp; GENTLEMAN https://t.co/o4OV64T3QW,IT S GOING DOWN IN INDIANAPOLIS LADIES amp GENTLEMAN,-0.15555555555555559,0.0,-0.07777777777777779,neutral,Barstool Indy,1305,7002,"Indianapolis, IN",108,5,2021-05-10 23:59:59,,,"Indianapolis, IN",United States
1,@byJenAMiller @FueledbyLOLZ Along with the Wave Inspire 10. Those 2 updates were so awful that even the Mizuno reps freely admitted it,Along with the Wave Inspire 10 Those 2 updates were so awful that even the Mizuno reps freely admitted it,-0.3,0.4825,0.09125,neutral,Curtis Hall,3693,156,Wisconsin,2,0,2021-05-10 23:59:59,,,"Wisconsin, USA",United States
2,I shoulda got a ppp so I can get a bbl 😂,I shoulda got a ppp so I can get a bbl,0.0,0.4404,0.2202,neutral,Top Tier Masculine Sissy,22195,843,"Dallas, Texas",3,0,2021-05-10 23:59:59,,,"Dallas, TX",United States
3,twitter users looking through their camera roll to  to reply with the same memes under literally every viral tweet that appears on their timeline https://t.co/Yog3vPc5aZ,twitter users looking through their camera roll to to reply with the same memes under literally every viral tweet that appears on their timeline,0.0,0.0,0.0,neutral,2015 Subaru Legacy 2.5 Limited on Work Emitz,1578,78,"Ashburn, VA",0,0,2021-05-10 23:59:59,,,"Ashburn, VA",United States
4,I wanna go to a crawfish boil soo bad 😩😍,I wanna go to a crawfish boil soo bad,-0.6999999999999998,-0.3818,-0.5408999999999999,negative,Josey,26093,745,"Nashville, TN",0,0,2021-05-10 23:59:59,,,"Nashville, TN",United States
5,"@mulaney JOHN, hello",JOHN hello,0.0,0.0,0.0,neutral,Rachel Ann,43,10,"Corvallis, OR",0,0,2021-05-10 23:59:59,,,"Oregon, USA",United States
6,@trueandfalse_ The last thing I posted was a heartwarming tweet about you and you do this to me. Lying on my name 4 what 😔,The last thing I posted was a heartwarming tweet about you and you do this to me Lying on my name 4 what,0.0,0.0,0.0,neutral,Lázaro,3677,285,"Austin, TX",0,0,2021-05-10 23:59:59,,,"Texas, USA",United States
7,@saulalvarad0711 @Luis15sanchez @DatBoiAlex_713 @SergiooBotello @ApexAdrian5 Where I took your hoe,713 Where I took your hoe,0.0,0.0,0.0,neutral,Jerry,36920,1073,,1,0,2021-05-10 23:59:58,,,"The Woodlands, TX",United States
8,Devers’ sac fly-RBI ties the game at two. #Orioles,Devers sac fly RBI ties the game at two Orioles,0.2,0.0,0.1,neutral,Domenic A. Vadala 🇺🇸,66808,800,"Manassas, VA",0,0,2021-05-10 23:59:58,,,"Bull Run, VA",United States
9,@PMPamet I agree! The motion has passed!,I agree The motion has passed,0.0,0.4738,0.2369,neutral,Colleen 👾,2405,69,"Brooklyn, NY",0,0,2021-05-10 23:59:58,,,"New Orleans, LA",United States
